Date,AAPL,IBM,MSFT,GOOG
2010-04-15,23.711519241333008,99.73954010009766,24.666982650756836,295.7265930175781
2010-04-16,23.566720962524414,99.54144287109375,24.50717544555664,273.2974548339844
2010-04-19,23.53528594970703,100.76062774658203,24.802820205688477,273.2726135253906
2010-04-20,23.29905128479004,98.82512664794922,25.058521270751953,275.7266540527344
2010-04-21,24.692672729492188,98.29171752929688,25.034547805786133,275.35906982421875
2010-04-22,25.383285522460938,98.3984146118164,25.082494735717773,271.762451171875
2010-04-23,25.798603057861328,99.05372619628906,24.73890495300293,270.734130859375
2010-04-26,25.671916961669922,99.61761474609375,24.858755111694336,264.1022644042969
2010-04-27,24.96129608154297,98.16217803955078,24.6510009765625,262.82061767578125
2010-04-28,24.919382095336914,99.1375732421875,24.698944091796875,262.88519287109375
